Source,Target
1902.01370,1912.03771
1902.01370,2004.10404
1902.01370,1902.02192
1902.01370,1905.12790
1902.01370,1905.04847
1902.01370,1910.13437
1902.01370,1901.00158
1902.01370,2004.14120
1902.01370,2006.15720
1902.01370,1905.10930
1902.01370,2001.05540
1902.01370,2004.07683
1902.01370,1911.04908
1902.01370,1910.13034
1902.01370,2001.08785
1902.01370,1904.09324
1902.01370,1906.03351
1902.01370,1906.09601
1902.01370,2005.00558
1902.01370,2002.03079
1902.01370,1902.03249
1902.01370,1905.11006
1902.01370,2002.08926
1902.01370,2005.05339
1902.01370,1908.05915
1902.01370,2006.01112
1902.01370,1908.07181
1902.01370,1909.02480
1902.01370,2008.00312
1902.04886,2007.04174
1902.00566,1904.03367
1902.00566,1908.02511
1902.00566,1702.06054
1902.00566,2005.08874
1902.00566,1709.06560
1902.04818,2006.03707
1902.04818,2009.11397
1902.04818,1912.03430
1902.04818,1907.02957
1902.04818,1909.03418
1902.04818,1905.11475
1902.04818,1902.07285
1902.04818,1902.02041
1902.04818,2006.04504
1902.04818,2002.08347
1902.04818,2009.11349
1902.04818,1910.07629
1902.04818,2006.07710
1902.04818,2009.02470
1902.04818,1706.06083
1902.04818,1912.09405
1902.04818,2004.12385
1902.04818,2007.15147
1902.04818,1906.01527
1902.04818,2006.04730
1902.04818,2006.10876
1902.04818,1906.10973
1902.04818,2002.03080
1902.04818,2002.07405
1902.04818,2002.02776
1902.04818,2006.10013
1902.04818,1907.12138
1902.05679,2008.07428
1902.05679,1912.02365
1902.05679,1906.02351
1902.05679,2003.00430
1902.05679,2006.13593
1902.05679,1904.09265
1902.05679,1907.03793
1902.05679,2005.07755
1902.05679,2001.03724
1902.05679,1901.11224
1902.05679,1908.02734
1902.05679,1810.10690
1902.05679,2008.10898
1902.05679,1609.03261
1902.05679,1902.02715
1902.05679,1901.07648
1902.05679,2006.07013
1902.05679,1811.10105
1902.05679,2007.07484
1902.05679,2008.12690
1902.05679,2001.09623
1902.05679,1608.04636
1902.05679,2009.06562
1902.05679,2008.06233
1902.05679,2005.01209
1902.05679,1906.08496
1902.03601,1704.05519
1902.03601,1807.05511
1902.03601,1901.01536
1902.06057,2008.01786
1902.06057,1909.09839
1902.06057,1909.03354
1902.06057,1904.05647
1902.06057,2006.11476
1902.06057,2006.12884
1902.06057,1906.06023
1902.06057,2002.01087
1902.06057,1908.09990
1902.06057,2004.04455
1902.06057,2004.10943
1902.06057,2004.04725
1902.06057,2006.05220
1902.06057,2002.08483
1902.06057,1809.03193
1902.06057,1912.07902
1902.06057,2008.01178
1902.06057,1901.00303
1902.06057,2006.15056
1902.06057,1904.00551
1902.06057,2007.06144
1902.06057,2008.06614
1902.06057,1912.06448
1902.06057,2001.11207
1902.06057,1909.04972
1902.06057,2007.02577
1902.06057,1907.09408
1902.06057,1809.02165
1902.06057,1610.02391
1902.06057,2008.09694
1902.06057,1907.10164
1902.06057,2008.03898
1902.06057,2007.13970
1902.06057,2002.07421
1902.01977,1908.04126
1902.01977,1809.10374
1902.01977,2001.05068
1902.01977,2004.14003
1902.00829,2001.05755
1902.00829,1911.09514
1902.00829,1811.00239
1902.01753,1903.08560
1902.01753,2008.01724
1902.01753,1905.13657
1902.01753,2003.01770
1902.03585,1809.02165
1902.03585,2006.05367
1902.03585,2006.05179
1902.03585,2008.00610
1902.03585,1908.00473
1902.03585,2005.02258
1902.01475,2009.08072
1902.01475,1806.08804
1902.01475,2005.13183
1902.01475,1912.10552
1902.01769,2006.13760
1902.03932,1903.10145
1902.03932,1704.02798
1902.03932,2006.10801
1902.03932,1809.01293
1902.03932,1902.00282
1902.03932,2003.04173
1902.03932,1907.13418
1902.03932,2005.04987
1902.03932,1910.03127
1902.03932,2003.00193
1902.03932,1902.02476
1902.03932,2002.06470
1902.03932,1911.07337
1902.03932,2005.13107
1902.03932,2002.02405
1902.03932,1910.11998
1902.03932,2002.08791
1902.03932,2003.10306
1902.03932,1910.09227
1902.03932,1908.03491
1902.03932,2006.13570
1902.03932,1803.05407
1902.03932,2006.05087
1902.03932,2007.00523
1902.03932,2009.09535
1902.03932,1906.01620
1902.03932,1905.05749
1902.03932,2001.10995
1902.03932,2006.06399
1902.03932,2005.07186
1902.02441,1509.02971
1902.02441,2003.14210
1902.02441,1912.05328
1902.02441,1706.10295
1902.02441,2006.02818
1902.02441,1902.05605
1902.02441,2008.12210
1902.05624,2007.05597
1902.05624,2006.16477
1902.05624,2003.03193
1902.05624,1906.01529
1902.05624,1905.04243
1902.05624,2002.06611
1902.05644,2008.01438
1902.05644,1706.02275
1902.04049,2008.02251
1902.04049,1910.09230
1902.04049,2003.00710
1902.04049,2003.03744
1902.04049,2009.08328
1902.04049,2008.05223
1902.04049,2005.00966
1902.04049,2009.07501
1902.04049,2006.04868
1902.04049,1912.10557
1902.04049,2002.10776
1902.04049,2002.05322
1902.04049,2005.01669
1902.04049,2005.00225
1902.04049,1911.12926
1902.04049,2008.08278
1902.04049,2004.05645
1902.04049,2007.06151
1902.04049,2001.04074
1902.04049,2006.03486
1902.04049,2005.05761
1902.04049,2005.08702
1902.04049,1910.09308
1902.04049,1908.03735
1902.04049,1911.09982
1902.04049,2008.04488
1902.04049,2006.00414
1902.04049,2005.05652
1902.04049,2009.09571
1902.04049,1709.02250
1902.04049,1906.03815
1902.01338,2007.16102
1902.01338,1909.08058
1902.01338,2004.00482
1902.01338,1909.02077
1902.06160,1804.00874
1902.06160,1711.01558
1902.01080,1612.00410
1902.01080,1503.05671
1902.01080,1910.03127
1902.01080,2008.03209
1902.01080,1809.02104
1902.01080,2008.02144
1902.02041,1903.00519
1902.02041,2003.07631
1902.02041,1704.02685
1902.02041,1902.04818
1902.02041,2006.06643
1902.02041,1906.07983
1902.02041,1708.06733
1902.02041,1909.03977
1902.02041,1911.02508
1902.02041,2004.11488
1902.02041,1706.06083
1902.02041,2006.05379
1902.02041,1812.02843
1902.02041,1904.12843
1902.02041,2006.09128
1902.02041,2007.09969
1902.02041,1907.09701
1902.02041,1812.00891
1902.02041,1910.03835
1902.02041,2007.06381
1902.02041,1901.04592
1902.02041,2009.01884
1902.02041,2009.10639
1902.03043,1910.07497
1902.03043,2002.03898
1902.03043,1907.07327
1902.00778,1911.05403
1902.00778,1902.02893
1902.00778,1911.10244
1902.00778,1809.07823
1902.00778,2003.00712
1902.00778,2004.02610
1902.00778,1905.04403
1902.00778,2007.02527
1902.00778,1807.06096
1902.00778,1801.08099
1902.00778,2002.12156
1902.00778,1902.05632
1902.01019,2002.09298
1902.01019,1907.10838
1902.01019,1907.12956
1902.01019,1804.10892
1902.01019,2003.10834
1902.01019,2009.09543
1902.01019,2006.08129
1902.01019,2001.06144
1902.01019,1907.09380
1902.00809,1711.10449
1902.00809,1910.07655
1902.00809,2001.05838
1902.02336,2001.06001
1902.02336,1906.08635
1902.02336,1904.12848
1902.02336,1806.05594
1902.02336,1905.08845
1902.02336,2001.05317
1902.02336,1804.09170
1902.02336,2003.10580
1902.03096,1912.05100
1902.03096,2005.14501
1902.01313,2002.03912
1902.01313,1911.01212
1902.01313,2006.02163
1902.01313,1910.00553
1902.01313,2004.14958
1902.01313,1907.10761
1902.01313,2002.12867
1902.00600,1912.11591
1902.00600,1810.11905
1902.00600,2006.11937
1902.00600,1901.07361
1902.00600,1909.09596
1902.00600,2004.10805
1902.00600,2006.04166
1902.02603,1906.02914
1902.02603,1912.10481
1902.02603,1907.00865
1902.02603,1907.13418
1902.02603,2002.03704
1902.02603,1805.08498
1902.02603,1903.05779
1902.05632,2006.16688
1902.05632,1809.07823
1902.05632,2007.01223
1902.05632,1902.00778
1902.05632,2005.03898
1902.05632,1905.13121
1902.05632,1908.00528
1902.05632,2004.05519
1902.05632,1909.05304
1902.05632,2002.12156
1902.04706,1808.00177
1902.04706,2006.12983
1902.04706,1708.02190
1902.04706,2005.07541
1902.04706,1812.05905
1902.04706,1911.08363
1902.04706,1910.09470
1902.04706,2007.09562
1902.04706,2003.06734
1902.01554,1509.02971
1902.01554,1905.05408
1902.01554,1911.07712
1902.01554,2002.04235
1902.01554,1901.03887
1902.01554,2003.09575
1902.01554,1908.03963
1902.01554,2006.02419
1902.01554,1911.06992
1902.01554,2006.06455
1902.01554,1910.05366
1902.01554,1903.05561
1902.01554,1911.10635
1902.01554,1706.02275
1902.01554,2002.05233
1902.01554,1907.05707
1902.01554,1911.00025
1902.01554,1912.05304
1902.01554,1909.02682
1902.01554,2005.14220
1902.05872,2007.06292
1902.05872,1801.04264
1902.05872,1812.04960
1902.05872,2004.05993
1902.05872,2008.08944
1902.05872,2008.12328
1902.05872,2001.09189
1902.05872,2004.00222
1902.01902,1908.04847
1902.01902,1706.09293
1902.01902,1904.03920
1902.01902,1911.01288
1902.00334,2009.07025
1902.00334,2009.08704
1902.00334,2001.00561
1902.00249,1911.05531
1902.00249,2007.06847
1902.00249,1908.00723
1902.00249,2006.15222
1902.00249,1906.08230
1902.01064,2004.14696
1902.01064,2005.06276
1902.01064,1909.08029
1902.01064,2002.12688
1902.01064,1803.06443
1902.02904,1910.13930
1902.02904,1901.04592
1902.02904,1811.01315
1902.02904,1808.00033
1902.01144,2007.01494
1902.01144,1810.00760
1902.01144,1904.09237
1902.01144,1808.02941
1902.01144,1811.07055
1902.01144,1702.05594
1902.01144,1908.03097
1902.02443,1911.05370
1902.00659,1902.00685
1902.00659,1902.01362
1902.00659,1902.01360
1902.02767,2007.15036
1902.02767,2006.08777
1902.02767,1907.06496
1902.02767,2003.02037
1902.02767,1912.02762
1902.02767,2006.11469
1902.02767,2007.05566
1902.02767,2006.08437
1902.02767,2003.12597
1902.02767,1912.13025
1902.02767,1809.11096
1902.02767,1906.02845
1902.02767,1810.09136
1902.02767,1912.03978
1902.02767,1906.01171
1902.02767,1904.06264
1902.02767,2007.02745
1902.02767,1911.04227
1902.02767,1810.01392
1902.02767,1907.04572
1902.02767,2002.07101
1902.02767,1811.00995
1902.02767,2003.12506
1902.02767,1906.02530
1902.02767,2006.06399
1902.02767,1906.02735
1902.02767,2002.09741
1902.04987,1910.04997
1902.04987,1910.02445
1902.04987,1907.01879
1902.05211,2007.04108
1902.05341,2005.02132
1902.05341,2003.05093
1902.06525,2002.05322
1902.06525,2004.11675
1902.06525,1905.09746
1902.05312,1912.08526
1902.05312,1905.10821
1902.05312,1905.03776
1902.05312,1804.05862
1902.03361,1809.11096
1902.03361,1706.06083
1902.02808,1908.04240
1902.02808,1902.08638
1902.02808,2007.01472
1902.00267,2003.05005
1902.00267,1906.07421
1902.00267,2002.02413
1902.00267,2007.03593
1902.00267,2009.09235
1902.03682,1805.08693
1902.00996,2006.09230
1902.00996,1905.02313
1902.00996,1812.07725
1902.00996,1906.07868
1902.00996,2006.13998
1902.00996,2006.02509
1902.00996,2005.13097
1902.00996,2005.14605
1902.00996,1811.08413
1902.00996,1805.01648
1902.00996,2001.04341
1902.00996,1810.12361
1902.00996,1911.01469
1902.00996,2001.10006
1902.00996,2007.06799
1902.00996,1902.03694
1902.00996,1911.03043
1902.00996,1906.08530
1902.00996,1908.10859
1902.00996,1905.11768
1902.00996,2007.00590
1902.00996,1903.08568
1902.00996,2002.06189
1902.00996,1909.05503
1902.00996,2002.05519
1902.03394,1608.04471
1902.03394,1806.01811
1902.03394,2004.06443
1902.03394,2007.02857
1902.03394,2006.02509
1902.03394,1912.00894
1902.03964,2009.04535
1902.03964,1802.03426
1902.01362,1902.00659
1902.01362,1902.01360
1902.01362,1902.04412
1902.05605,1909.04121
1902.05605,1911.05321
1902.05605,1509.02971
1902.05605,2009.08973
1902.05605,1907.00456
1902.05605,1806.07572
1902.05605,1805.11604
1902.05605,1903.08894
1902.05605,1812.02900
1902.05605,1902.02441
1902.00760,2001.03992
1902.05947,2003.02327
1902.05947,1909.05829
1902.05947,1911.07980
1902.05947,1905.07512
1902.05947,1802.00265
1902.05947,2004.14638
1902.05947,1911.12905
1902.05947,1903.02531
1902.05947,1703.10593
1902.05947,2007.04645
1902.02826,1811.11304
1902.02826,1705.08378
1902.02826,2007.01480
1902.02826,1812.03411
1902.04742,1903.01611
1902.04742,2003.07422
1902.04742,2007.15378
1902.04742,2006.06780
1902.04742,1912.04265
1902.04742,2005.08054
1902.04742,2006.08888
1902.04742,2002.10657
1902.04742,1905.09677
1902.04742,1909.03009
1902.04742,1803.00885
1902.04742,1905.11604
1902.04742,2003.06152
1902.04742,1905.13344
1902.04742,1808.01204
1902.04742,2008.06786
1902.04742,2002.09956
1902.04742,2007.02235
1902.04742,1901.01672
1902.04742,1812.09859
1902.04742,1710.05468
1902.04742,2006.07710
1902.04742,2002.06349
1902.04742,2008.01217
1902.04742,2006.12625
1902.04742,2007.04486
1902.04742,2002.10319
