Source,Target
1903.10572,1903.10862
1903.10572,1903.10951
1903.10572,2003.00608
1903.10572,1907.01697
1903.10572,1908.00636
1903.12364,2009.02582
1903.12364,2005.06508
1903.12364,1912.10687
1903.08970,1910.05026
1903.10862,1903.10572
1903.10862,1808.04244
1904.00993,1811.01571
1904.00993,1911.07704
1904.00993,2006.14163
1904.00993,2006.10731
1904.00993,1912.12098
1904.00993,2006.16867
1904.00993,2005.04286
1904.00993,1811.02017
1904.00993,2004.05154
1904.00993,1902.04615
1904.00993,2006.02598
1904.00993,1911.05932
1904.00993,1907.01085
1904.01763,2007.01980
1904.01763,2003.01803
1904.01763,2002.09174
1904.01763,2002.09438
1904.01763,1905.12849
1904.01763,1905.10825
1904.01763,1910.04959
1904.01763,2004.06321
1904.01763,2002.03217
1904.01763,2004.09454
1904.01763,1911.01067
1904.01763,2008.11918
1904.01775,2008.11289
1904.01775,1801.08881
1904.01775,2004.02804
1904.01775,2005.11914
1904.01775,2005.06038
1904.01775,2007.05028
1903.12063,1808.05883
1903.11241,1903.05202
1903.11241,2007.05408
1903.11862,1711.05101
1903.11862,1710.08864
1903.11862,1611.05113
1903.11862,1911.02466
1903.11862,2002.01008
1903.11862,2002.03095
1903.11862,1809.08758
1904.00507,2006.04675
1904.00507,1906.10637
1904.00507,1809.00901
1903.10873,1909.01815
1903.10873,1912.11872
1903.10873,2003.12307
1903.10873,2007.12494
1903.10873,2003.05653
1903.10873,2003.13989
1903.10873,2003.13845
1903.10873,2007.14808
1903.10873,2003.09691
1903.10873,1904.02605
1903.10873,1909.02215
1903.12125,2007.03747
1903.08817,1709.01507
1903.08817,2009.03683
1903.08817,1912.13171
1903.08817,2004.13388
1903.08817,1908.00273
1903.08817,2008.07742
1903.08817,1907.04508
1903.08817,1909.08228
1903.08817,2005.10582
1903.08817,2005.09305
1903.08817,1908.10267
1903.08817,1703.10593
1903.08817,2008.08242
1903.08817,2008.00195
1903.08817,2005.07896
1903.10735,1901.00596
1903.10735,1807.03819
1904.00842,2004.03449
1904.00842,1809.04891
1904.00842,2003.01753
1903.10684,1911.04894
1904.01561,1802.04364
1904.01561,1812.01070
1904.01561,2006.05531
1904.01561,1911.05211
1904.01561,1907.01632
1904.01561,1910.03127
1904.01561,2006.04804
1904.01561,2005.13607
1904.01561,1909.04648
1904.01561,2002.04720
1904.01561,2006.00986
1904.01561,2007.03114
1904.01561,2005.10036
1904.01561,2002.03244
1904.01561,2002.08264
1904.01561,2005.00687
1904.01561,2006.08532
1904.01561,2007.08026
