Source,Target
1910.12794,2003.03515
1910.12794,2002.09070
1910.12794,2006.02509
1910.12794,1608.04471
1910.12794,1503.05671
1910.12794,2004.06443
1910.12794,1912.00894
1911.00165,1509.02971
1911.00165,1711.09576
1911.00165,1907.04514
1910.14212,1704.02685
1910.14212,1810.04247
1910.14212,1903.11780
1910.11072,1807.05511
1910.13983,1809.11142
1910.11713,1904.10699
1910.11637,2001.02600
1910.14425,2009.01974
1910.14425,2005.01026
1910.14425,1905.03817
1910.14425,2004.04314
1910.14425,2006.08848
1910.14425,1905.10497
1910.14425,1902.11175
1910.14425,2007.05690
1910.14425,1808.07576
1910.14425,1812.01097
1910.14425,1811.12470
1910.14425,2002.07948
1910.14425,1910.13598
1910.14425,2004.04986
1910.14425,2006.06377
1910.14425,1808.07217
1910.14425,1908.07873
1910.14425,1805.09767
1910.14425,1909.04715
1910.14425,2007.07481
1910.14425,1608.04636
1910.14425,2006.10672
1910.14425,1812.06127
1910.14425,2007.02315
1910.14425,1902.00146
1910.14425,2003.13461
1910.14425,1910.06378
1910.14425,1910.09126
1910.14425,2006.08950
1910.14425,2006.13041
1910.14425,1909.04746
1910.14425,2007.01154
1910.14425,1907.02189
1910.14425,2006.08907
1910.14425,2004.01442
1910.14576,2007.02906
1910.12037,2005.10821
1910.12037,2006.11227
1910.12620,1806.06397
1910.12620,1903.01392
1910.12620,1903.03374
1910.12620,2008.02027
1910.11033,1906.12177
1910.11033,1904.01636
1910.12626,2005.08128
1910.12911,1912.02975
1910.12911,1612.00410
1910.12911,2004.00567
1910.12911,1906.05437
1910.12911,2001.09908
1910.12911,1809.00846
1910.12911,2005.12108
1910.12911,2006.12862
1910.12911,2005.12254
1910.12911,1904.08129
1910.12911,2007.12401
1910.12911,1901.10902
1910.12911,1903.08254
1910.12911,1904.01806
1910.12911,1709.06560
1910.12911,1812.11118
1910.12911,1810.03037
1910.12911,2006.04222
1910.12911,1902.07015
1910.12911,2009.06304
1910.12911,1812.02341
1910.12911,2006.05826
1910.12911,1810.12282
1910.12911,1902.01378
1910.11499,1909.00949
1910.11499,1809.11096
1910.11499,1901.03416
1910.11499,1911.05020
1910.11499,1810.11203
1910.11499,1907.01632
1910.11499,2005.07609
1910.11499,1906.03412
1910.11499,1905.11600
1910.13113,2006.05700
1910.14351,1706.10295
1910.14351,2001.05636
1910.14351,2006.07781
1910.13923,1907.03540
1910.13105,1905.11605
1910.13105,1906.02390
1910.11843,1901.00569
1910.12521,1805.10054
1910.12521,1902.00629
1910.12521,2007.12160
1910.12521,2007.02080
1910.14280,2008.07180
1910.14280,1803.06443
1910.14280,1902.00340
1910.14280,1901.09847
1910.14280,1907.09356
1910.14280,1905.03817
1910.14280,1906.02367
1910.14280,2009.06459
1910.14280,1712.01887
1910.14280,1912.09528
1910.14280,1811.10792
1910.14280,1805.09767
1910.14280,1910.12999
1911.00222,2007.04806
1911.00222,1812.03224
1911.00222,2007.11354
1911.00222,1909.05830
1911.00222,1906.09679
1911.00222,1804.05271
1911.00222,1905.01656
1911.00222,1809.07857
1911.00222,2009.00081
1911.00222,1812.06127
1911.00222,1905.13378
1911.00222,2007.05553
1911.00222,2003.00229
1911.00222,2003.08059
1911.00222,2006.07817
1911.00222,1907.00782
1911.00222,2007.11462
1911.00222,1908.07873
1910.13051,2004.11839
1910.13051,1909.04939
1910.13051,2004.06069
1910.13051,1810.07758
1910.13051,1907.11815
1910.13051,2006.01667
1910.13051,2006.12672
1910.13051,1910.04341
1910.13051,1906.10329
1910.13051,1903.06602
1910.13051,1809.04356
1910.13051,1901.10738
1910.13253,2006.12701
1910.13253,2002.08933
1910.13253,1904.07845
1910.13253,1903.03825
1910.12010,1908.04346
1910.12010,1903.02740
1910.12010,1907.12930
1910.12010,1907.10936
1910.12010,1806.02132
1910.12010,2007.05201
1910.12010,2009.01907
1910.12010,2001.06678
1910.12625,2004.10854
1910.12625,2002.03847
1910.12625,1904.00938
1910.12625,1903.03046
1910.12625,1901.06955
1910.12625,1910.10075
1910.10485,1906.00532
1910.10485,2005.09904
1910.10485,1912.06638
1910.13204,2001.07248
1910.13204,1901.09047
1910.13204,2006.09745
1910.13204,2005.09148
1910.11124,1901.07518
1910.11124,1811.10830
1910.11777,2008.05731
1910.11777,2008.08278
1910.11777,2008.09104
1910.13141,2003.11142
1910.13141,2004.14566
1910.13141,2007.09558
1910.13141,1909.12978
1910.13141,1908.09791
1910.13141,1906.03951
1910.13141,1801.04381
1910.13141,1903.05134
1910.13141,1710.08717
1910.13141,1905.02244
1910.13141,1909.11274
1910.13141,1806.07366
1910.13141,1905.03684
1910.12809,2007.09055
1910.12809,2007.03760
1910.12809,2001.11113
1910.12809,1903.08738
1910.12809,1905.13341
1910.12809,2008.06668
1910.12809,1906.03393
1910.12809,2007.13893
1910.12809,1905.10506
1910.12809,1806.01347
1910.12809,2007.03438
1910.12809,1911.06854
1910.12809,1911.04384
1910.12809,2002.02081
1910.12809,2008.00483
1910.12809,2001.01866
1910.12809,1908.08526
1910.12809,2005.01643
1910.12809,1909.05850
1910.12809,1912.02074
1910.12809,2003.03924
1910.12809,1803.00606
1910.12809,1910.07479
1910.12809,1905.00360
1910.12809,2006.03886
1910.12809,2008.04990
1910.12809,1906.04733
1910.13393,2003.02189
1910.13393,1904.11455
1910.13393,2007.03964
1910.13393,2006.11984
1910.13393,2008.00311
1910.12003,1904.07223
1910.12003,2002.12489
1910.12003,1903.01594
1910.12003,2006.04569
1910.12003,2007.10315
1910.12003,1905.01270
1910.12003,2009.10066
1910.12003,2007.15560
1910.13951,2003.06321
1910.13951,2007.05239
1910.13951,1912.07896
1910.13951,2006.02330
1910.13951,1905.06230
