Source,Target
2009.08410,1801.04381
2009.08410,1905.02196
2009.06734,1908.07899
2009.06734,2002.06177
2009.06734,2007.03748
2009.06734,2004.11204
2009.06734,1909.09153
2009.05934,1811.00656
2009.05934,1901.08971
2009.05934,2004.07532
2009.05934,1909.12962
2009.05934,1906.06876
2009.05934,1910.01717
2009.08720,1910.08485
2009.08720,1806.00069
2009.08720,1907.07174
2009.08720,1904.00760
2009.08720,1909.08442
2009.08720,1802.00121
2009.08720,1907.10882
2009.08720,1902.10178
2009.05994,2006.12052
2009.05994,2003.14032
2009.05994,1801.07829
2009.05994,1907.03739
2009.05994,2005.02704
2009.05994,1911.11236
2009.05994,2004.05763
2009.05994,1904.00817
2009.05994,2004.08515
2009.06114,1911.01952
2009.06114,1903.10484
2009.06114,1902.09866
2009.06114,1805.12152
2009.06114,1810.11783
2009.06114,1812.08342
2009.06114,1904.09959
2009.06114,1710.08864
2009.06114,1705.07204
2009.06114,1808.01664
2009.06114,1807.03571
2009.06962,1706.06083
2009.06962,1912.02781
2009.06962,1610.02391
2009.06962,1905.04899
2009.06962,2001.03994
2009.06962,1807.01697
2009.09523,1810.08313
2009.09523,1910.10683
2009.09523,2006.15704
2009.09523,1904.00962
2009.09523,1811.06965
2009.09523,1811.03600
2009.09523,2001.01347
2009.09523,1912.01703
2009.08328,1908.06306
2009.08328,1912.13171
2009.08328,1810.06801
2009.08328,1908.00709
2009.08328,1906.01504
2009.08328,2007.06700
2009.08328,1905.13210
2009.08328,2004.15004
2009.08328,1905.10761
2009.08328,2002.05442
2009.08328,1805.07477
2009.08328,2001.02004
2009.08328,2005.14605
2009.08328,2005.11018
2009.08328,1906.08031
2009.08328,1610.02391
2009.08328,1706.01000
2009.08328,1907.08610
2009.08328,2003.11755
2009.08328,1909.03172
2009.08328,1509.02971
2009.08328,2006.09359
2009.08328,2004.13651
2009.08328,2007.02220
2009.08328,2007.14469
2009.08328,1411.5878
2009.08328,2001.02394
2009.08328,1706.10295
2009.08328,1907.10902
2009.08328,1902.06068
2009.08328,1808.03344
2009.08328,2005.00065
2009.08328,1908.10454
2009.08328,1905.13277
2009.08328,1903.07288
2009.08328,2005.01831
2009.08328,2004.06402
2009.08328,1906.00904
2009.08328,1903.06733
2009.08328,1904.13127
2009.08328,1909.07930
2009.08328,2006.07567
2009.08328,1910.10467
2009.08328,1909.11655
2009.08328,1910.00138
2009.08328,1910.05446
2009.08328,1911.04946
2009.08328,1910.01500
2009.08328,2006.10963
2009.08328,1911.09464
2009.08328,1812.01097
2009.08328,1904.03567
2009.08328,1906.06821
2009.08328,1910.07291
2009.08328,1906.04787
2009.08328,1901.08753
2009.08328,1906.01529
2009.08328,1901.01536
2009.08328,1802.03487
2009.08328,2002.02117
2009.08328,1909.11721
2009.08328,1910.01279
2009.08328,1904.13310
2009.08328,1905.00080
2009.08328,1909.06842
2009.08328,1909.00186
2009.08328,1807.04686
2009.08328,2002.03794
2009.08328,1810.05749
2009.08328,1803.01814
2009.08328,1805.07557
2009.08328,1808.03314
2009.08328,2008.05580
2009.08328,1802.03471
2009.08328,2007.01547
2009.08328,1912.01703
2009.08328,2004.02134
2009.08328,2001.04074
2009.08328,1905.06723
2009.08328,1902.09631
2009.08328,1809.11096
2009.08328,1901.06053
2009.08328,1911.09257
2009.08328,1902.04893
2009.08328,1908.01224
2009.08328,1807.10300
2009.08328,1912.06077
2009.08328,1906.02691
2009.08328,1804.05839
2009.08328,1908.09791
2009.08328,1805.07925
2009.08328,2003.10027
2009.08328,1910.03437
2009.08328,1910.04877
2009.08328,2003.03033
2009.08328,2008.05913
2009.08328,1812.02690
2009.08328,1901.01608
2009.08328,1804.00325
2009.08328,2006.00093
2009.08328,1712.04323
2009.08328,1907.10701
2009.08328,2003.02981
2009.08328,2005.08104
2009.08328,1906.04612
2009.08328,2009.01564
2009.08328,1904.02874
2009.08328,1904.08939
2009.08328,1902.01384
2009.08328,1902.04049
2009.08328,1901.01672
2009.08328,1709.02250
2009.08328,2006.12425
2009.08328,1910.10045
2009.08328,2004.02866
2009.08328,1909.13371
2009.08328,1804.03515
2009.08328,2001.06937
2009.08328,1906.06196
2009.08328,1911.02685
2009.08328,1903.05196
2009.08328,1901.07647
2009.08328,2006.07794
2009.08328,1906.10742
2009.08328,1909.07729
2009.08328,1910.05895
2009.08328,1905.11881
2009.08328,1908.06976
2009.08328,1909.05142
2009.08328,1806.10779
2009.08328,2001.04062
2009.08328,2004.09602
2009.08328,1802.07191
2009.08328,1905.13667
2009.08328,1812.11794
2009.08328,1910.12259
2009.08328,1902.06853
2009.08328,2005.06247
2009.08328,1903.08385
2009.08328,2006.15429
2009.08328,2006.00327
2009.08328,2001.06921
2009.08328,1908.04680
2009.08328,1811.11214
2009.08328,1910.00927
2009.08328,2005.01643
2009.08328,1910.07655
2009.08328,1808.05377
2009.08328,1901.09335
2009.08328,1710.05468
