Source,Target
1912.07868,1810.11809
1912.07868,1901.01021
1912.07868,1801.04381
1912.11393,1904.09970
1912.11393,1811.08988
1912.11393,1901.02875
1912.11393,1901.03781
1912.11393,2003.12181
1912.11393,1812.09603
1912.11393,2003.10485
1912.06442,1907.10701
1912.06442,1802.03494
1912.06442,1807.11626
1912.06442,1812.03443
1912.06442,1812.00332
1912.06442,1904.02877
1912.06442,1904.10616
1912.06442,1612.01051
1912.10493,1904.00370
1912.10493,1606.09029
1912.10493,1803.03963
1912.08177,1912.12728
1912.08177,1908.11233
1912.08177,2005.05890
1912.11591,2008.08342
1912.11591,1902.00600
1912.10600,1509.02971
1912.10600,1903.11329
1912.10600,1909.05402
1912.10600,1807.01675
1912.10600,1811.09013
1912.10600,2003.00848
1912.10600,1911.11397
1912.06404,2004.13681
1912.10850,1910.10699
1912.10850,1904.05068
1912.10850,1908.09355
1912.10850,1904.01866
1912.10850,1904.12848
1912.10850,1909.13719
1912.10850,2007.06737
1912.10850,1902.03393
1912.10850,1909.10351
1912.09592,1901.08255
1912.09592,1801.09403
1912.09592,1805.11365
1912.08275,1807.05520
1912.08275,1812.01784
1912.08275,1903.05503
1912.08275,1611.05113
1912.08275,1904.08502
1912.08275,1904.03436
1912.08275,1812.02391
1912.08275,2001.03182
1912.08275,1707.00600
1912.08775,1711.01558
1912.08775,2002.09809
1912.08775,1912.11966
1912.08775,2001.09501
1912.08775,1811.02629
1912.08775,1903.07988
1912.08813,1901.04252
1912.10230,1905.01058
1912.10230,1904.02689
1912.10230,1907.13426
1912.10230,1908.09443
1912.10230,1801.00868
1912.10230,2004.08298
1912.10230,2006.14822
1912.10336,1812.08350
1912.10336,1903.05421
1912.10336,1902.00761
1912.10336,1806.01260
1912.10336,2007.13834
1912.10336,1902.05356
1912.10336,1812.00488
1912.10336,1904.03868
1912.10336,1901.10034
1912.07840,1907.10529
1912.07840,2009.08128
1912.07840,2004.13805
1912.07840,2005.04511
1912.07840,2005.00318
1912.07840,2005.00561
1912.07840,1906.08237
1912.07840,2006.09526
1912.07840,2004.04312
1912.07840,1910.11856
1912.07840,2003.08271
1912.07840,2006.07698
1912.07840,1909.12486
1912.07840,2009.08330
1912.07840,1906.01502
1912.08771,1905.11946
1912.08771,2006.04240
1912.08771,1904.09757
1912.08771,2007.08739
1912.08771,2002.08111
1912.08771,1802.01548
1912.08771,2006.11999
1912.08771,2005.04064
1912.09322,1905.08772
1912.09322,1911.06147
1912.10479,1811.07104
1912.10479,1901.00889
1912.10479,1809.07764
1912.10597,1911.04964
1912.10867,2003.12352
1912.10867,1904.05349
1912.10867,1905.00742
1912.10867,2006.16281
1912.10867,1907.09382
1912.10867,1909.06761
1912.10867,1908.10406
1912.10867,1906.04913
1912.11186,1911.08169
1912.11186,2006.07601
1912.11186,2007.00748
1912.11186,2002.08254
1912.11186,1909.11065
1912.11186,1904.05044
1912.11186,1808.04277
1912.11186,2008.05731
1912.11186,1809.02983
1912.11186,1902.10421
1912.11186,1803.06184
1912.11186,1709.00029
1912.11186,1805.04628
1912.11186,2005.14511
1912.11186,1610.02391
1912.11186,1908.07919
1912.10127,1202.0515
1912.10952,1912.01703
1912.10952,1910.11831
1912.10952,1907.01845
1912.10952,2003.03253
1912.10952,1909.04977
1912.10952,1812.00332
1912.10952,1806.09055
1912.10952,1905.11946
1912.10952,1907.05737
1912.10952,1801.04381
1912.10952,2009.06237
1912.10952,2005.07564
1912.10952,1807.11626
1912.10952,1812.03443
1912.10952,1809.02165
1912.10952,1904.12760
1912.10952,1808.05377
1912.10952,1910.04465
1912.10952,1812.09926
1912.10952,1802.01548
1912.10952,1904.08189
1912.07670,1902.05542
1912.07670,2009.05524
1912.07670,1911.07246
1912.07670,2001.11628
1912.07670,1904.07854
1912.07670,1812.05905
1912.07670,1912.04443
