Source,Target
2002.04861,1802.03487
2002.04861,1811.03804
2002.04861,1903.11482
2002.04861,2003.10397
2002.04861,1810.02054
2002.04861,2007.01419
2002.04861,1905.10686
2002.04861,1811.03962
2002.04861,1808.01204
2002.04861,1901.08584
2002.06378,1903.10128
2002.06378,1904.02870
2002.06987,1910.10791
2002.06987,1810.05270
2002.06987,1810.11921
2002.06987,1803.03635
2002.06987,1906.10771
2002.06987,1806.03514
2002.06048,1811.12649
2002.06048,1904.06627
2002.06048,1901.06140
2002.06048,1610.02391
2002.06048,1805.08974
2002.06442,1903.09999
2002.06836,1509.02971
2002.06836,1910.04700
2002.06836,1910.07294
2002.06836,1901.09732
2002.06836,1812.11103
2002.03627,1904.03567
2002.03627,2001.03569
2002.03627,1903.05921
2002.03627,2004.10043
2002.04634,1805.09501
2002.04687,1711.01530
2002.04687,1806.03803
2002.04687,1808.06670
2002.04687,1901.04609
2002.04687,1905.06922
2002.04687,1904.03743
2002.04687,1906.03830
2002.04687,1807.03748
2002.04687,1804.05862
2002.04687,1710.05468
2002.04687,1905.11786
2002.07259,1711.07356
2002.07259,1905.05934
2002.07259,1810.07610
2002.07259,1704.02685
2002.07259,1810.05270
2002.07259,2001.00218
2002.07259,1906.02773
2002.07259,1901.08164
2002.07259,1804.06679
2002.07259,1912.01703
2002.07259,1810.02340
2002.07259,1803.03635
2002.07259,1912.00200
2002.07259,1806.10758
2002.06588,2007.03028
2002.06588,2007.04226
2002.06588,2008.11979
2002.06588,2004.09167
2002.06588,2007.16152
2002.05141,1609.05191
2002.05141,1903.09122
2002.05141,2006.07315
2002.05141,1912.12309
2002.05141,1902.07826
2002.05141,2002.01444
2002.05141,2009.09511
2002.05141,2001.09576
2002.05141,2003.11227
2002.05141,1806.05722
2002.05141,1906.11392
2002.05141,1902.00768
2002.03495,1907.04164
2002.03495,1803.00195
2002.03495,1901.06053
2002.03495,1902.00744
2002.03495,1906.09069
2002.03495,1901.04653
2002.07214,1905.06494
2002.07214,2002.08000
2002.07214,1802.09514
2002.07214,1807.07623
2002.07214,1902.08647
2002.04066,1902.05655
2002.04066,1903.09555
2002.04066,1801.04381
2002.04066,1901.09054
2002.04066,1905.07203
2002.04066,1905.06312
2002.04945,2003.00122
2002.04945,2004.00959
2002.07024,2002.10066
2002.07024,2002.06673
2002.07024,1807.05307
2002.07024,2006.11638
2002.07024,1910.10362
2002.07024,1809.06514
2002.07024,1808.08646
2002.07224,1905.11528
2002.07224,1802.01548
2002.07224,1904.12760
2002.07224,1808.05377
2002.07224,2006.03179
2002.07224,2006.02535
2002.07224,2002.00059
2002.07224,1905.01392
2002.03577,1911.01629
2002.03577,1904.08779
2002.04189,1812.11806
2002.04189,1808.05377
