Source,Target
2002.10758,1908.06847
2002.10758,1805.09767
2002.10758,1902.00340
2002.10758,1808.07576
2002.09998,1904.02063
2002.08053,1912.12927
2002.08053,1906.00189
2002.08053,1810.04327
2002.08053,1808.10585
2002.08053,1912.01703
2002.08053,2007.08929
2002.08053,1902.03045
2002.08053,1901.03073
2002.08053,1904.02832
2002.08053,2002.11919
2002.08782,1902.00146
2002.08782,1903.03934
2002.08782,1905.03817
2002.08782,2006.10672
2002.08782,1905.06641
2002.08782,1903.02891
2002.08782,1805.09767
2002.08782,1906.02717
2002.08782,1808.07576
2002.08782,1812.07210
2002.08782,1802.07876
2002.08782,1910.08123
2002.08782,1907.02189
2002.08782,1804.05271
2002.08782,2004.01942
2002.08782,1909.04715
2002.08782,1906.06268
2002.07897,1904.00284
2002.07897,1812.04948
2002.07897,1903.07291
2002.10032,1912.05688
2002.10032,1904.00664
2002.10032,1806.03348
2002.10032,1912.12817
2002.10032,1912.13171
2002.10032,1904.05049
2002.09000,1801.04503
2002.10651,2009.10804
2002.10651,2005.10547
2002.10651,1908.00375
2002.10651,2005.14354
2002.07965,1905.13472
2002.07965,1902.02476
2002.07965,1911.05722
2002.07965,1811.07308
2002.07965,2007.01659
2002.07965,1908.03491
2002.07965,1903.05779
2002.07965,1906.02506
2002.07965,1804.09170
2002.07965,1906.04450
2002.07965,2006.06399
2002.07965,1906.02629
2002.11098,1909.11155
2002.11098,1711.00253
2002.11098,1902.09212
2002.07471,1905.07718
2002.07471,2006.05525
2002.07471,1812.03982
2002.07471,2009.09450
2002.09609,2005.04763
2002.09609,1807.07623
2002.09609,1908.09970
2002.09609,1909.05207
2002.10006,1906.06994
2002.10006,1610.09887
2002.10006,2002.00240
2002.10006,1906.00695
2002.10006,1810.05749
2002.10006,1812.04948
2002.10006,1908.06277
2002.10006,2003.12193
2002.11054,2007.00864
2002.11054,1903.06498
2002.11054,2007.00072
2002.11054,2005.13685
2002.11054,2006.03031
2002.11054,2008.08272
2002.11054,2006.09616
2002.11297,1905.13472
2002.11297,1810.01392
2002.11297,1905.10628
2002.11297,1812.04606
2002.11297,1905.00292
2002.11297,2005.14140
2002.11297,1810.09136
2002.11297,1808.06664
2002.11297,2007.15036
2002.11297,1906.02845
2002.11297,1908.05569
2002.11297,2006.09273
2002.11297,1812.01754
2002.11297,1905.00076
2002.11297,2006.04005
2002.11297,1706.02690
2002.11297,2008.06856
2002.07405,1706.06083
2002.07405,1905.11971
2002.07405,1902.04818
2002.07405,1907.02957
2002.07405,2006.16375
2002.07405,2009.09922
2002.07405,1902.06705
2002.07405,1907.12138
2002.08012,1706.06083
2002.08012,1810.11793
2002.08012,1812.10528
2002.07891,1906.04214
2002.07891,1706.06083
2002.07891,2005.00060
2002.07891,1905.12032
2002.07891,1908.07116
2002.07891,1806.01316
2002.07891,1805.11770
2002.07891,1812.11377
2002.07891,1503.05671
2002.07891,2006.06224
2002.07891,1907.11684
2002.07891,1808.01664
2002.07891,1807.07978
2002.07891,1703.06748
2002.11394,1903.03906
2002.11394,1903.09348
2002.11394,1911.11856
2002.11394,2003.00269
2002.11394,1906.05440
2002.11394,2002.00797
2002.11394,1903.09343
2002.11394,1911.01535
2002.07584,1902.10319
2002.08483,1904.01612
2002.08483,1902.06057
2002.08483,1902.09229
2002.08483,1912.01703
2002.08483,1902.06162
2002.08483,1906.01044
2002.08483,1912.01991
2002.08483,1906.00091
2002.08483,1901.09036
2002.08641,1906.01529
2002.08641,1902.03984
2002.08641,1910.00927
2002.08641,1901.04997
2002.08641,1807.04720
2002.08641,2001.06937
2002.08641,1910.13076
2002.08641,1901.08753
2002.08641,1809.11096
2002.08641,1805.08318
2002.08641,1903.05955
2002.08641,1804.00140
2002.09708,1806.06176
2002.09708,1904.07290
2002.09708,2003.08870
2002.09708,1903.09331
2002.09708,1911.04417
2002.09708,1905.01270
2002.11397,1711.10398
2002.11397,1909.06581
2002.11397,1703.10593
2002.11397,1909.09629
2002.11397,1811.10980
2002.11397,1809.07517
2002.11397,1905.05169
2002.11397,2008.02793
2002.11397,1908.03826
2002.11397,1904.03377
2002.11397,1904.03378
2002.11397,1904.00523
2002.10964,1910.09170
2002.10964,1904.05835
2002.10964,1904.05068
2002.10964,1903.02271
2002.10964,1911.05722
2002.10964,1910.13540
2002.10964,1910.12713
2002.10964,1810.06758
2002.10964,1707.05776
2002.10964,2002.11810
2002.10964,1811.11212
2002.10964,1905.01723
2002.10964,1808.07371
2002.10964,1809.11096
2002.10964,1905.05901
2002.10964,1912.04958
2002.10964,1812.04948
2002.10964,2006.10738
2002.10964,1910.12027
2002.10964,1912.01865
2002.10964,1912.11035
2002.10964,1811.11357
2002.10964,1904.01774
2002.10964,1910.06832
2002.10964,2006.06676
2002.10964,1812.10889
2002.10964,1912.05270
2002.10964,1903.07291
2002.10964,1905.08233
2002.10964,2002.04724
2002.08583,1903.00543
2002.08583,1808.04008
2002.08242,1907.05496
2002.11304,1812.00068
2002.11304,1903.01548
2002.11304,1907.07786
2002.09869,2009.05986
2002.09869,1905.07773
2002.09869,2007.06437
2002.09869,2006.11561
2002.09869,2006.06294
2002.09869,1912.03517
2002.09869,1901.00210
2002.10105,1902.01613
2002.10105,1904.01631
2002.10105,1901.04359
2002.10105,1712.01887
2002.10105,2003.06307
2002.11319,1912.01412
2002.08024,2004.03386
2002.08024,2004.14307
2002.08024,1902.10245
2002.08024,1807.03819
2002.08024,1904.09324
2002.08024,1907.01669
2002.08024,1908.01946
2002.08024,1907.00883
2002.08024,2009.08115
2002.08024,1905.08743
2002.08024,1907.07421
2002.08546,1807.05520
2002.08546,1702.08811
2002.08546,1911.02054
2002.08546,1902.01046
2002.08546,1903.12230
2002.08546,2009.00909
2002.08546,1908.00262
2002.08546,1910.05562
2002.08546,1904.06487
2002.08546,1802.10349
2002.08546,1812.01754
2002.08546,1811.12833
2002.08546,1903.04064
2002.08546,1904.12347
2002.08546,1812.09953
2002.08546,1903.09980
2002.08546,2007.04171
2002.08546,1906.02629
2002.09128,1903.10979
2002.09128,2008.01475
2002.09128,1905.11946
2002.09128,2009.01272
2002.09128,1904.00420
2002.09128,1901.02985
2002.09128,1812.09926
2002.09128,1801.04381
2002.09128,1807.11626
2002.09128,1902.07638
2002.09128,1802.07191
2002.09128,2007.08818
2002.09128,1907.01845
2002.09128,1904.01569
2002.09128,1812.00332
2002.09128,1806.09055
2002.09128,2006.10355
2002.09128,1902.08142
2002.11409,2007.11430
2002.10923,2002.11436
2002.08439,1706.06083
2002.08439,1808.01688
2002.08439,1908.07116
2002.08439,1805.12152
2002.08439,1705.07213
2002.08439,1910.11099
2002.10749,1911.13077
2002.10749,2007.15258
2002.10749,1805.11247
2002.10749,1810.11780
2002.10749,1906.10886
2002.11379,2004.07700
2002.11379,1901.07042
2002.11379,2007.06199
2002.11379,1811.12231
2002.11379,1807.01697
2002.11379,1901.07031
2002.11379,1610.02391
2002.08860,1905.08604
2002.08860,1509.02971
2002.08860,1902.11136
2002.08860,1907.04490
2002.08860,2009.02327
2002.08860,1902.08705
2002.08860,1909.12077
2002.08860,2007.01926
2002.08860,1806.07366
2002.08860,2006.08935
2002.08860,2006.13297
2002.07953,2003.12641
2002.07953,1911.05722
2002.07953,1903.12230
2002.07953,1903.06864
2002.07953,1904.06487
2002.07953,1903.12355
2002.07953,2003.08264
2002.07953,1906.03950
2002.07953,1903.09980
2002.07953,2007.04171
2002.07953,1904.11567
2002.07953,2005.10876
2002.07953,1904.05801
2002.11004,1906.01502
2002.11004,1901.09813
2002.09526,1910.11561
2002.09526,1608.04636
2002.09526,1912.01597
2002.09526,1708.07164
2002.09526,2008.11824
2002.09526,1706.01108
2002.10876,1801.07829
2002.10876,1908.06295
2002.10876,1907.10844
2002.10876,1908.09186
2002.10876,1801.04356
2002.10876,1904.08889
2002.10876,1905.04899
2002.10876,1909.03669
2002.10876,1804.05298
2002.10876,1912.11188
2002.10876,1904.07615
2002.10876,2004.00831
2002.10876,1904.07601
2002.10876,1907.10471
2002.10876,2007.13373
2002.10876,1812.04244
2002.10876,1905.00397
2002.10876,1901.01060
2002.10876,1908.04512
2002.10876,1912.12033
2002.10876,1905.05393
2002.10876,2008.06374
2002.10080,1910.05316
2002.10080,2006.14233
2002.10080,1812.11750
2002.10080,1907.12475
