Source,Target
2002.02393,2008.07118
2002.02393,1803.05428
2002.02393,1709.01620
2002.02393,1907.01164
2002.02393,1904.08842
2002.02393,2008.07142
2002.02393,1906.03626
2001.11102,1812.01528
2002.02884,1902.06349
2002.02884,1912.12345
2002.02884,2007.06677
2002.02884,1905.07457
2002.01240,1904.06387
2002.01240,1706.05850
2002.01240,1907.08199
2002.01240,1911.02256
2001.10237,1811.06128
2001.10237,2007.07632
2001.10237,1904.11686
2002.00748,1807.03586
2002.00748,1906.08237
2002.00748,2004.08694
2002.00748,1909.06356
2001.09908,1909.07528
2001.09908,1806.01363
2001.09908,2003.08165
2001.09908,2006.13760
2001.09908,1910.12911
2001.09908,2006.12122
2001.09908,2004.14990
2001.09908,1912.02975
2001.09908,1812.02341
2001.09908,2004.13649
2001.09908,1912.01588
2001.09908,2004.04136
2001.09908,1902.01378
2001.09908,1708.07902
2002.02814,2003.13988
2002.02025,1804.05013
2002.02025,1912.06570
2002.02901,1802.08626
2002.00118,1801.07829
2002.00118,2007.00016
2002.00118,1907.03739
2002.00118,1901.05103
2002.00118,1711.05101
2002.00118,1812.03828
2002.00118,1805.12254
2002.00118,1812.10775
2002.00118,1806.07366
2001.11202,1906.06876
2001.11202,1806.01963
2001.11202,1910.04473
2002.02318,1902.05377
2002.02318,2003.00895
2002.03014,1711.00073
2002.03014,1802.07486
2002.03014,1812.04426
2002.03014,2007.11133
2002.03014,2005.08357
2002.01925,1901.04592
2002.01925,1901.05498
2001.10188,1905.08416
2001.10188,1901.08211
2001.10188,1903.02120
2001.10905,1812.03253
2002.02925,1908.09355
2002.02925,1906.08237
2002.02925,2001.04451
2002.02925,2006.11316
2002.02925,1912.02292
2002.02925,1909.11942
2002.02925,1909.11556
2002.02925,1803.03635
2002.02925,1909.05840
2002.02925,2006.04152
2002.02925,1903.12136
2002.02925,1905.02450
2002.02925,2003.08271
2002.02925,1909.10351
2002.02925,2004.12302
2001.10485,1907.09138
2001.10485,2006.08816
2001.11739,1706.06083
2001.11739,1906.07670
2001.11739,1905.12202
2001.11739,1909.12272
2001.11739,1901.06328
2001.11739,2001.04959
2001.11114,1911.00888
2001.11825,2007.04982
2001.11235,1906.02735
2001.11235,1901.11137
