Source,Target
2003.00234,2002.10665
2003.01332,1911.06455
2003.01332,1903.02428
2003.01332,2006.08218
2003.01332,2008.01403
2003.01332,1911.07323
2003.01332,2009.08072
2003.01332,2005.00687
2003.01332,1906.08237
2003.01332,2006.15437
2003.01332,2004.00216
2003.01332,2007.13004
2003.01332,2005.13183
2002.12047,2008.05667
2003.00164,1811.10452
2003.00164,1912.03677
2003.00164,1906.07538
2003.00164,1908.03684
2003.00164,1908.08692
2003.00164,1907.07911
2003.00164,1908.04121
2003.00164,2002.00092
2003.00164,1908.03978
2003.00164,1907.12428
2003.00164,1903.00853
2003.00164,1912.03672
2003.00164,1811.11968
2003.00164,1903.11249
2003.00164,2003.08162
2003.00164,1910.03166
2003.00164,1902.06285
2003.00164,1902.01115
2003.00164,1901.00039
2003.00164,1903.03303
2003.00164,2002.00264
2003.00164,1811.02805
2002.12114,1711.11503
2002.12114,2007.03887
2002.12114,1703.10593
2002.12114,1904.03589
2002.12114,1802.10349
2002.12114,1806.01260
2002.12114,1904.01870
2002.12114,2003.12948
2002.12114,2001.03182
2003.01338,1904.08637
2003.01338,1907.10016
2003.01541,1910.06950
2003.01541,2005.13799
2003.01541,1904.07577
2003.01541,2007.01285
2003.00433,1812.03239
2003.00433,1911.10635
2003.00433,1903.09255
2003.00433,1806.00877
2003.00433,1901.09326
2003.00646,1811.03402
2003.00646,1906.05433
2002.12414,1805.10579
2002.12414,1901.07445
2002.12414,1901.09401
2002.12414,1807.04740
2002.12414,1810.06801
2002.12414,1910.13962
2002.12414,1812.04634
2002.12414,1810.07288
2002.12414,2007.04202
2002.12414,1905.02374
2002.12414,2009.08716
2002.12414,1906.01164
2003.00883,1812.03411
2003.00883,1902.02918
2003.00883,1706.06083
2003.00883,1812.00740
2003.00883,1811.12231
2003.00883,1903.01015
2003.00883,1902.07623
2003.00883,1904.03750
2003.00883,1903.10219
2003.00883,1902.06068
2003.00883,1811.09600
2003.00883,1705.07204
2003.00883,1809.03113
2003.00883,1808.03344
2003.00883,1903.00440
2003.00883,1905.03434
2002.11881,1706.06083
2002.11881,1801.07829
2002.11881,1808.01244
2002.11881,1905.11946
2002.11881,1809.07016
2002.11881,1710.08864
2002.12324,1904.01810
2002.12324,1906.04201
2002.12324,1810.12163
2002.12324,1908.04964
2002.12324,1906.06195
2002.12324,1903.07504
2002.12324,1908.02484
2002.12324,1905.04132
2002.12324,2006.12567
2002.12324,1909.06216
2002.12324,1905.03561
2002.12324,2005.05179
2002.12324,1906.08744
2002.12324,2008.02004
2002.12324,1912.00623
2003.02089,1812.02858
2003.02089,1812.11494
2003.02089,1902.01046
2003.02089,1812.11750
2003.02089,1804.05271
2003.02089,1907.09769
2003.02089,1905.10083
2003.01995,1901.05992
2003.01995,2004.10221
2003.01995,1902.09383
2003.01995,1903.03545
2003.01995,1903.03148
2003.01995,1812.07460
2003.01995,1904.11319
2003.01995,1902.05396
2003.01995,1810.06498
2002.12880,2003.11755
2002.12880,1811.02017
2002.12880,2006.12982
2002.12880,2006.11287
2002.12880,1906.04015
2002.12880,2007.06252
2002.12880,1909.12057
2002.12880,1906.08253
2002.12880,1909.12077
2002.12880,1909.12790
2002.12880,2006.10503
2002.12880,1901.02039
2002.12880,2005.04286
2002.12880,1811.07246
2002.12880,2006.16867
2002.12880,2006.05259
2002.12880,1806.07366
2002.12880,1911.08251
2003.02183,1912.01703
2003.02183,1908.08416
2003.02183,1810.01222
2003.00196,1812.08861
2003.00196,2008.00362
2003.00196,2005.07302
2003.00196,2009.09485
2003.00196,1910.09139
2003.00196,1905.08776
2003.00196,2007.14808
2003.00196,2004.03142
2003.00196,2008.07783
2003.00196,1808.07371
2003.00196,1902.08900
2003.00196,2007.08786
2003.00196,2004.12452
2003.00196,2008.12606
2003.00196,2008.02401
2003.00196,1907.05916
2003.00196,2004.03234
2003.00196,2006.10199
2003.00196,1811.11459
2003.00196,1903.11633
2003.00196,1901.04604
2003.00196,2007.02808
2003.00196,2008.10174
2003.00196,2004.03064
2003.00196,1808.04859
2003.00196,2004.12000
2003.00196,2008.02793
2003.00196,1905.08233
2003.00196,2004.12992
2003.00196,1905.02655
2003.00196,2004.11138
2003.00835,1905.07357
2003.00835,1906.03255
2003.00835,1811.09961
2003.00835,1901.08096
2003.00835,1905.01258
2003.00835,1901.07017
2003.00835,1811.12359
2003.00835,1812.00324
2003.00835,1908.09008
2003.00835,1902.09641
2003.00835,1903.05136
2003.02958,1904.02793
2003.02958,2004.12316
2003.02260,1907.10138
2003.02260,1903.09339
2002.12416,1711.11503
2002.12416,1812.11690
2002.12416,1911.09287
2002.12416,1906.07155
2002.12416,1801.04381
2002.12416,1811.08886
2002.12416,1811.11205
2002.12416,1803.03635
2002.12416,1906.10771
2002.12416,1711.08393
2003.00710,1812.03828
2003.00710,1812.05784
2003.00710,1903.11027
2003.00710,1902.04049
2002.11949,2009.07526
2002.11949,2007.05756
2002.11949,1903.03326
2002.11949,1904.00560
2002.11949,1910.01751
2002.11949,1812.02347
2002.11949,2005.08045
2002.11949,2004.00390
2002.11949,2008.07832
2002.11949,1907.03950
2002.11949,1911.10496
2002.11949,1811.10696
2002.11949,1904.07911
2002.11949,2005.08230
2002.11949,2002.12204
2002.11949,2007.08760
2002.11949,2009.00893
2002.11949,2003.03923
2002.11949,2008.06884
2002.11949,1812.01855
2002.11949,1811.12231
2002.11949,2005.11406
2002.11949,1906.10169
2002.11949,2006.04315
2003.02752,1803.09050
2003.02752,1912.12927
2003.02752,1906.00189
2003.02752,1812.05214
2003.02752,1808.10585
2003.02752,1908.07387
