Source,Target
2006.15009,2008.05598
2006.15009,1907.02057
2006.15009,2005.07404
2006.15009,1912.02807
2006.15009,1509.02971
2006.15009,2006.16712
2006.15009,1809.01843
2006.15009,1901.10995
2006.15960,1906.05274
2006.16100,1901.04693
2006.16100,1509.02971
2007.02277,1907.12859
2007.02277,1904.05044
2007.02277,1905.03198
2007.02277,1904.00674
2007.02277,1802.10349
2006.16498,1904.06387
2006.16498,2001.06781
2006.16498,1909.09906
2006.16498,1907.08823
2006.16498,1802.04412
2007.00107,1902.01542
2007.00107,2005.14346
2007.00107,1901.10334
2007.00107,1811.02655
2007.00107,1904.10574
2006.15199,1509.02971
2006.15199,1905.01756
2006.15199,1812.02900
2006.15199,1902.10250
2006.15199,1709.06560
2006.15426,2006.07038
2006.15426,1806.02473
2006.15426,1805.10970
2006.15426,2003.12725
2006.15426,2001.01408
2007.00128,2007.15645
2007.00128,2007.00118
2007.00772,1812.00151
2007.00772,1706.06083
2007.00772,1909.01492
2007.00772,1706.03922
2007.00772,1906.11235
2007.00772,1903.10346
2007.00772,1909.05822
2007.00772,1901.08573
2007.00251,1706.06083
2007.00251,1806.10574
2007.00251,1904.08279
2007.00251,1909.06342
2007.00251,1907.07165
2007.00251,1905.11852
2007.00251,1901.09192
2007.00251,2004.13003
2007.00229,2001.03671
2007.00229,2002.10638
2007.00229,1811.12354
2007.00229,1901.03035
2007.00229,1809.05375
2007.00229,1911.07308
2007.00229,1905.12255
2007.00229,1912.03241
2007.00229,1811.10092
2007.00229,1904.04195
2007.00229,1903.01602
2007.00229,1903.02547
2007.00229,1804.00168
2007.00229,1805.09501
2007.00229,1910.05611
2007.00644,2008.04859
2006.16796,1912.04986
2006.16796,1907.03670
2006.16796,1812.05784
2006.16796,1912.04838
2006.16796,1812.04244
2006.15762,1904.12584
2006.15762,1901.08162
2006.15762,1904.03367
2007.01294,1904.03751
2007.01294,1908.04512
2007.01294,1801.07829
2007.01294,1811.07246
2007.01294,1908.06295
2007.01294,1904.08017
2007.01294,1904.07601
2007.01294,1909.03669
2007.01294,1904.08889
2006.15480,1812.00324
2006.15480,2008.01449
2006.15480,1904.07850
2006.15480,1903.06593
2006.15480,1908.09220
2006.15480,1909.13423
2006.15480,1908.07919
2006.15480,1908.10357
2006.15480,1902.09212
2006.16434,1912.12854
2007.02220,1911.07116
2007.02220,1911.02142
2007.02220,2003.01031
2007.02220,1910.03137
2007.02220,1910.00577
2007.02220,1912.00742
2007.02220,2009.08328
2007.02220,2006.06841
2007.02220,1911.07399
2007.02220,2004.06660
2007.02220,2005.03823
2007.02220,1908.02203
2007.02220,2007.10760
2007.02220,2002.10078
2007.02220,1910.07517
2007.02220,2001.04935
2007.02220,1808.01400
2007.02220,1908.01763
2007.02220,1910.04749
2007.02220,1708.06733
2007.02220,2002.11497
2007.02220,1807.00459
2007.00178,1910.11956
2007.00178,1908.00177
2007.00178,1811.10119
2007.00178,1904.09503
2007.00178,1904.08980
2007.00178,1811.00145
2007.00178,1901.05105
2007.00178,2001.04377
2006.15404,2004.04306
2006.15404,1808.03571
2006.16367,1909.13130
2006.16793,2001.06216
2006.16793,1909.09369
2006.16793,1909.04200
2006.16793,1910.01837
2006.16793,2003.08371
2006.16793,1911.12116
2006.16793,1906.02032
2006.16793,2004.11165
2006.16793,1910.10045
2006.16793,2001.07417
2006.16793,2005.02387
2006.16793,2001.03447
2006.16793,1908.03020
2006.16793,1912.01819
2006.16793,1901.04592
2006.16793,1909.02437
2006.16793,1901.04909
2006.16793,1907.02584
2006.16793,1911.12199
2006.16793,2004.07511
2006.16793,2004.14545
2006.16793,2005.02249
2006.16793,1905.07857
2006.16793,1904.07451
2006.16793,1906.00117
2006.16793,1808.00033
2006.16793,1909.03012
2006.16793,1908.02337
2006.15489,2004.03548
2006.15489,1909.04656
2006.15489,2004.06130
2006.15489,1911.12667
2006.15489,1912.06430
2006.15489,2008.03800
2006.15489,1808.06670
2006.15489,1812.03982
2006.15489,2003.04297
2006.15489,2003.04298
2006.15489,1906.05743
2006.15489,1904.07846
2006.15489,1903.07593
2006.15489,1906.05849
2006.15489,1812.05038
2006.15489,1901.09005
2006.15489,1807.03748
2006.15489,2002.05709
2006.15489,1904.01766
2006.15489,1911.05722
2006.15489,1906.00910
2006.15489,1904.03597
2007.00987,2001.07457
2007.00987,1703.00443
2007.00987,1910.00935
2007.00081,1811.11881
2007.00081,2003.00365
2006.15657,1911.11206
2006.15657,1904.05181
2006.15657,1912.04487
2006.15657,1905.02175
2006.15657,1907.07171
2006.15657,1909.04656
2006.15657,1912.06992
2006.15657,2005.00214
2006.15657,1906.05743
2006.15657,1807.05620
2006.15657,1812.03982
2006.15657,1811.12641
2007.01444,1909.04711
2007.01444,2004.01457
2007.01444,1803.08182
2006.16670,1902.07766
2006.16670,1805.09806
2006.16670,2008.12949
2007.01755,1908.07325
2007.01755,1801.04381
2007.01755,1904.03582
2007.00961,1801.04381
2007.01441,1712.02862
2007.01441,1805.03779
2007.01883,1908.00867
2007.01883,1811.08383
2007.01883,2004.01278
2007.01883,1908.08498
2007.00199,1904.07396
2007.00199,1807.04686
2007.00199,1911.08541
2007.00199,1904.03468
2007.00199,1811.09485
2007.00199,2003.12751
2007.00199,1908.08453
2007.00199,1912.06102
2007.00199,1912.01703
2006.15406,1910.09387
2006.15406,1912.01703
