Source,Target
2003.11512,1912.04229
2003.11512,1909.06581
2003.11512,1903.06048
2003.11512,1703.10593
2003.11512,1912.04958
2003.11512,1901.00686
2003.11512,1909.07957
2003.11512,1905.00322
2003.11512,1905.01164
2003.11512,2006.00809
2003.11512,1812.04948
2003.11512,1909.02116
2003.11512,1808.03344
2003.11512,1809.11096
2003.11512,2006.12226
2003.09754,1801.07829
2003.09754,1812.02822
2003.09754,1908.01491
2003.09754,1901.05103
2003.09754,1908.04520
2003.09754,1911.00969
2003.09754,1810.00826
2003.09754,1911.10949
2003.09754,1906.06693
2003.09754,1812.03828
2003.09754,2006.07793
2003.09754,1901.02970
2003.09754,1905.10711
2003.09754,1908.00575
2003.09754,1908.06109
2003.09754,1809.10699
2003.09754,1901.02968
2003.09754,1905.05172
2003.09754,2001.09322
2003.10580,1905.03670
2003.10580,1905.11946
2003.10580,1804.00222
2003.10580,2003.04297
2003.10580,2009.09496
2003.10580,1901.08933
2003.10580,1905.02249
2003.10580,1910.00701
2003.10580,1904.12848
2003.10580,1902.02336
2003.10580,2001.07685
2003.10580,1804.09170
2003.10580,2002.05709
2003.10580,1906.02629
2003.09671,1911.03722
2003.09671,1804.06537
2003.09671,1612.00410
2003.09671,1905.06922
2003.09671,1802.09766
2003.09671,1902.09037
2003.09671,1705.02436
2003.09671,2003.06254
2003.09671,1911.09189
2003.09671,1909.11396
2003.10010,1807.05520
2003.10010,1911.05722
2003.10010,1812.02772
2003.10010,1904.03148
2003.10010,1807.06653
2003.10010,1906.07589
2003.10010,1903.10663
2003.08951,1812.05038
2003.08951,1911.04131
2003.08951,1907.10902
2003.08951,1812.03982
2003.08951,1912.11521
2003.08951,1910.02212
2003.08951,1912.06971
2003.08951,1909.05704
2003.10551,2004.13408
2003.09347,1706.06083
2003.09347,2002.06789
2003.09347,1910.08051
2003.09347,1907.01003
2003.09347,2002.11242
2003.09347,1901.08573
2003.09347,2001.03994
2003.09347,1909.10773
2003.09347,2009.10526
2003.09347,1805.12152
2003.09347,2006.04621
2003.09347,1812.02637
2003.11154,1903.06150
2003.11154,1806.00186
2003.07939,1910.14448
2003.07939,1904.09029
2003.07939,1909.10461
2003.07939,1910.01624
2003.07939,1809.03008
2003.07939,2007.01002
2003.08736,2006.07644
2003.08736,1904.02216
2003.08736,1903.08469
2003.08736,1905.02423
2003.11227,1903.09122
2003.11227,2003.00189
2003.11227,1911.12178
2003.11227,2002.02064
2003.11227,2002.05141
2003.11227,1902.06223
2003.11227,1912.12309
2003.11227,1902.08721
2003.11227,2006.05910
2003.11227,1909.05062
2003.11227,2001.09254
2003.11227,2002.08095
2003.11227,1902.07826
2003.11227,2007.06650
2003.11227,2007.04393
2003.11227,1905.09897
2003.11227,1806.05722
2003.11227,2003.05999
2003.11227,1906.01584
2003.11227,2008.05523
2003.11227,2001.09576
2003.11227,1811.04258
2003.11227,2002.00082
2003.11227,2007.12291
2003.11227,1902.00768
2003.12267,1904.03379
2003.12267,1905.01680
2003.12267,1703.10593
2003.12267,1904.03349
2003.12267,1808.07371
2003.12267,2005.12494
2003.12267,1812.04948
2003.12267,1807.11346
2003.12267,2007.15068
2003.12267,1809.11096
2003.12267,1805.08318
2003.09526,2005.02544
2003.09526,2008.09728
2003.08844,1609.08326
2003.10758,1905.07443
2003.10758,1908.00709
2003.10758,1904.06587
2003.10758,1904.09099
2003.10758,1912.09678
2003.10238,2004.05275
2003.10238,1902.09212
2003.10238,1905.03466
2003.10238,1812.00324
2003.10931,1903.05711
2003.10931,1812.01687
2003.10931,1708.00174
2003.10931,1801.07829
2003.10931,1711.05101
2003.08533,1906.09458
2003.08533,1905.12375
2003.09070,1908.05418
2003.09070,1809.11096
2003.09070,1903.02271
2003.08003,1910.05449
2003.08003,1911.12736
2003.08003,1901.05105
2003.08003,1809.10732
2003.08003,1803.10231
2003.08003,2008.12969
2003.08525,1903.08536
2003.07990,2008.03800
2003.07990,2006.14613
2003.07990,1912.01991
2003.07990,2003.04297
2003.07990,1911.05722
2003.07990,1808.06670
2003.07990,1906.05849
2003.07990,1909.04656
2003.07990,2007.02519
2003.07990,2002.05709
2003.07990,2005.10243
2003.07990,1903.07593
2003.07990,1906.00910
2003.07990,1810.11981
2003.07990,2008.00975
2003.07990,2005.14169
2003.07990,1905.09272
2003.07990,1906.08226
2003.07990,2007.13278
2003.07990,1904.11111
2003.08964,1906.08237
2003.08811,1906.02376
2003.08811,1907.02704
2003.08811,1905.07504
2003.09022,1911.00025
2003.11055,1906.01828
2003.11055,2004.09420
2003.11055,2007.08223
2003.11055,2009.04004
2003.11055,2006.13873
2003.11055,2007.02202
2003.11055,2008.08496
2003.11055,2004.01275
2003.11055,2003.13145
2003.11055,1801.04381
2003.11055,2009.01657
2003.11055,2006.12229
2003.11055,2004.04931
2003.11055,2004.05758
2003.11055,2007.11993
2003.11055,2007.10785
2003.11055,2008.07449
2003.11055,2007.09695
2003.11055,2004.12592
2003.11055,2004.10641
2003.11055,2005.13928
2003.11055,2004.05717
2003.11055,2009.10141
2003.11055,2004.05436
2003.11055,2004.12823
2003.11413,1910.10202
2003.11413,1902.05522
2003.11413,1802.03494
2003.11413,1805.08498
2003.11413,1901.07066
2003.11413,1902.09574
2003.12125,1908.01570
2003.12125,1808.01244
2003.12125,2005.05701
2003.12125,1903.00621
2003.12125,1904.11490
2003.12125,1904.07850
2003.12125,1904.01355
2003.12125,1901.08043
2003.12125,1904.03797
2003.12125,1901.01892
2003.12125,1904.08189
2003.12125,1707.06484
2003.11243,1706.06083
2003.11243,2002.06541
2003.11243,1905.11946
2003.11243,1809.09349
2003.11243,1903.08560
2003.11243,1902.06015
2003.11243,1912.02292
2003.11243,1804.04368
2003.11243,1810.02054
2003.11243,2002.04839
2003.11243,1907.00208
2003.11243,2001.01523
2003.11243,1906.12340
2003.11243,1805.10965
2003.11243,1906.02629
2003.07923,1901.08707
2003.07923,1902.09063
2003.07923,1810.05444
2003.07923,1907.02757
2003.11647,1903.02428
2003.11647,1811.11721
2003.11647,1809.00916
2003.11647,1806.08804
2003.11647,1809.02983
2003.11647,1904.11491
2003.11647,1908.07919
2003.11647,1911.01664
2003.08839,1912.03558
2003.08839,2006.03553
2003.08839,1902.02311
2003.08839,1706.02275
2003.08839,1909.02682
2003.08839,1902.04043
2003.08839,2005.09453
2003.08839,1910.05366
2003.08839,1911.04094
2003.08839,1907.11461
2003.08839,1902.00506
2003.08839,1906.12266
2003.08839,1807.06613
2003.08839,1905.07366
2003.08839,1909.02790
2003.08839,1810.02912
2003.08839,2007.12322
2003.08839,1810.11702
2003.08839,1905.05408
2003.08839,1903.04959
2003.08839,2003.06709
2003.08839,1809.05096
2003.09761,1901.06758
2003.09372,1706.06083
2003.09372,1905.12202
2003.09372,1904.12843
2003.09372,1905.10615
