Source,Target
2007.15850,1906.09300
2007.15850,1907.06147
2008.00820,1902.08710
2008.00820,1909.03252
2008.00820,1910.11760
2008.00820,1706.09138
2008.00820,1904.05979
2008.00820,2007.10984
2008.00820,2003.07018
2008.00820,2004.09476
2008.00820,1904.09013
2008.00820,1912.11684
2008.00820,1903.11250
2008.00820,1802.04208
2008.00820,1904.02296
2007.15645,2007.04759
2007.15645,1905.02199
2007.15645,2007.00118
2007.15645,2007.00128
2008.00627,1906.00189
2008.00627,1803.09050
2008.00627,2006.05697
2008.00627,1904.11238
2008.00627,1802.05300
2008.00627,1903.07788
2008.00627,2002.07394
2008.00627,1905.02249
2008.00627,1905.05040
2008.00030,1910.09615
2008.00030,2006.02750
2008.00030,1906.08253
2008.00030,1912.10900
2008.00030,1908.01786
2008.00030,2009.08819
2008.00030,1901.10031
2008.00030,1912.01703
2008.01664,2002.11002
2008.01664,2003.03410
2008.01664,1906.09627
2008.01664,1907.10952
2008.01459,1911.12296
2008.01459,2009.09380
2008.01459,2002.10072
2008.01459,1905.07726
2008.02321,1909.07572
2008.01874,1908.09998
2008.00498,1806.07119
2008.03397,2003.12218
2007.15330,2002.10152
2008.01712,1806.06877
2008.01712,1906.00429
2008.00394,1901.05103
2008.00394,1808.00671
2008.00394,1903.10132
2008.00394,1811.11286
2008.00394,2004.03327
2008.00394,1912.00280
2008.00394,1907.10844
2008.00394,1801.07829
2008.00394,1904.09742
2008.00394,1901.06802
2008.00394,1812.03828
2008.00394,1903.03322
2008.00394,1804.00874
2008.00394,1807.07796
2008.01635,1709.00029
2008.03030,1905.01681
2008.03030,1904.06925
2008.03030,1906.05849
2008.03030,1905.09272
2008.03030,1903.12355
2008.03030,1911.05371
2008.03030,1807.06653
2008.03030,1808.06670
2008.03030,2002.05709
2008.03030,1911.05722
2008.03452,2008.09165
2008.03452,2004.03669
2008.00239,1904.03377
2008.00239,1901.01892
2008.00239,1807.03848
2008.00727,1907.06558
2008.00727,1906.02530
2007.15418,2002.00260
2007.15418,1906.06321
2007.15418,2007.07422
2007.15418,2002.06286
2007.15418,1912.02270
2007.15418,2002.09795
2007.15418,2006.03041
2007.15418,1912.04511
2007.15418,1910.09322
2007.15418,1905.10027
2007.15418,1901.00137
2008.00801,1911.01711
2008.01342,1804.00222
2008.01342,2003.04297
2008.01342,1906.00910
2008.01342,1905.01235
2008.01342,1807.05520
2008.01342,1906.05849
2008.01342,1905.11786
2008.01342,1812.11446
2008.01342,1903.06586
2008.01342,1903.12355
2008.01342,1901.09005
2008.01342,1910.04650
2008.01342,1807.03748
2008.01342,1811.06965
2008.01342,1811.03600
2008.01342,1906.07155
2008.01342,2002.05709
2008.01342,1911.05722
2008.02063,1810.00826
2008.02063,1806.08804
2008.01380,1901.07973
2007.15874,1910.07638
2008.01304,1709.04212
2007.15973,1912.13382
2008.00408,1909.05193
2008.00408,1906.10395
2008.00408,2002.10078
2008.00408,1902.11237
2008.00408,1802.03043
2008.03609,1706.06083
2008.03609,2002.08347
2008.03609,1812.02637
2008.03609,1904.12843
2008.03609,2005.09147
2008.03609,2005.09134
2008.03609,1803.08680
2008.03609,1901.08573
2008.01659,2003.08530
2008.01659,1906.02399
2008.01659,2007.07172
